Etape;Souhait EQXT;Obtenus EQXT;Souhait EQ6;Obtenus EQ6;Souhait EQ4T;Obtenus EQ4T;Souhait EQ5;Obtenus EQ5;Souhait EQXP;Obtenus EQXP;Souhait EQ2;Obtenus EQ2;Souhait EQ1;Obtenus EQ1;Souhait EQ3;Obtenus EQ3;
0;20000.0;444.44444444444446;25000.0;555.5555555555555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;1000.0;8104.631217838764;8104.631217838764;
1;18091.222222222223;492.40916706485785;18649.0;507.59083293514226;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;1000.0;50234.64360879379;12213.979619651938;
2;18091.47972182403;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;1000.0;66939.55750636039;9188.7821288251;
3;18091.1463884907;16502.09483501077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15502.094835010768;17216.924605395747;1000.0;1000.0;56617.012604544616;8937.868368711246;
4;18090.7182201466;8833.149868659983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23170.32600110918;17260.820110135992;1000.0;243.13857414355837;65181.4400515496;22490.96253628071;
5;17755.89738869662;17755.89738869662;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39631.957383451685;7883.969192524978;1000.0;436.9934045049999;0.0;0.0;
6;17597.25819293167;17597.25819293167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45267.95731331414;16474.186962961423;1000.0;380.3335875359221;0.0;0.0;
7;17597.25819293167;17597.25819293167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51304.596574516465;13229.138040776303;1000.0;336.4380827956773;0.0;0.0;
8;17210.02115806736;10747.791611581975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57434.09754877698;25306.12689449806;1000.0;137.26983671728053;0.0;0.0;
9;17009.022220630388;17009.022220630388;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30802.357785391294;7375.3569931399215;1000.0;534.8352576689657;0.0;0.0;
10;13581.940779992177;13581.940779992177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37497.265668001404;25736.261927536267;1000.0;352.80273921587553;0.0;0.0;
11;13581.940779992177;13581.940779992177;12250.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48127.53636339851;22530.654945561513;1000.0;525.8138854941186;0.0;0.0;
12;13581.940779992176;8238.473121078638;2889.1500000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46719.269362413856;8389.296689568822;1000.0;157.86541814100957;0.0;0.0;
13;15489.741772239047;14193.415458833568;13688.421469275572;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25736.261927536267;7775.524750331136;1000.0;1000.0;0.0;0.0;
14;12503.082976464979;12503.082976464979;14225.334203621207;0.0;0.0;0.0;0.0;0.0;3490.2576274127678;0.0;24100.56586527187;28448.718320342476;1000.0;934.8599975416947;0.0;0.0;
15;12503.756663059497;6930.248597018725;15000.0;0.0;0.0;0.0;0.0;0.0;5854.751652321522;0.0;8389.296689568822;12289.839844102611;1000.0;1000.0;0.0;0.0;
16;11104.04334614959;4288.928459562534;21686.20025512838;0.0;0.0;0.0;0.0;0.0;6314.1409872417935;0.0;22534.380178949024;20523.5626431857;1000.0;345.0516361481648;0.0;0.0;
17;11438.987796152534;11438.987796152534;25000.0;0.0;0.0;0.0;0.0;0.0;9407.582304194364;0.0;37055.36819054396;0.0;1000.0;767.7354108062057;0.0;0.0;
18;11598.943753843812;9551.83573987842;15000.0;0.0;0.0;0.0;0.0;0.0;8614.632406380066;0.0;12289.839844102611;0.0;1000.0;1000.0;0.0;0.0;
19;9861.79584362272;9861.79584362272;17647.363489395742;0.0;0.0;0.0;0.0;0.0;6884.404304782493;0.0;23164.243920483255;0.0;1000.0;886.0018360036996;0.0;0.0;
